org_name,ein,ntee,ntee_label,year,word_count,dei_word_count
Met Museum of Art,131624086,A,Arts & Culture,2016,31909,9
Met Museum of Art,131624086,A,Arts & Culture,2018,31980,15
Met Museum of Art,131624086,A,Arts & Culture,2020,32971,34
Met Museum of Art,131624086,A,Arts & Culture,2022,34417,39
UNCF,131624241,B,Education,2016,25995,6
UNCF,131624241,B,Education,2020,28078,8
UNCF,131624241,B,Education,2022,27494,10
United Way,131635294,P,Human Services,2016,89250,55
United Way,131635294,P,Human Services,2018,229350,91
United Way,131635294,P,Human Services,2020,198108,89
United Way,131635294,P,Human Services,2022,47416,15
NAACP LDF,131655255,B,Education,2016,23129,64
NAACP LDF,131655255,B,Education,2018,23889,20
NAACP LDF,131655255,B,Education,2020,23451,20
NAACP LDF,131655255,B,Education,2022,24319,23
National Urban League,131840489,R,Civil Rights,2016,25399,8
National Urban League,131840489,R,Civil Rights,2018,26223,9
National Urban League,131840489,R,Civil Rights,2020,28725,11
Lincoln Center,131847137,A,Arts & Culture,2016,28425,12
Lincoln Center,131847137,A,Arts & Culture,2018,28650,12
Lincoln Center,131847137,A,Arts & Culture,2020,29423,16
Lincoln Center,131847137,A,Arts & Culture,2022,29207,19
Teach For America,133541913,B,Education,2016,23279,24
Teach For America,133541913,B,Education,2018,23069,22
Teach For America,133541913,B,Education,2020,24662,37
Teach For America,133541913,B,Education,2022,24787,33
ACLU Foundation,136213516,R,Civil Rights,2016,33044,23
ACLU Foundation,136213516,R,Civil Rights,2020,27523,16
ACLU Foundation,136213516,R,Civil Rights,2022,27804,23
HRC Foundation,521481896,R,Civil Rights,2016,23511,56
HRC Foundation,521481896,R,Civil Rights,2018,25696,105
HRC Foundation,521481896,R,Civil Rights,2020,26229,170
HRC Foundation,521481896,R,Civil Rights,2022,27830,199
Goodwill Intl,530196517,P,Human Services,2016,29448,24
Goodwill Intl,530196517,P,Human Services,2018,30921,31
Goodwill Intl,530196517,P,Human Services,2020,32934,37
Goodwill Intl,530196517,P,Human Services,2022,32071,37
American Red Cross,530196605,P,Human Services,2016,29277,6
American Red Cross,530196605,P,Human Services,2018,29139,9
American Red Cross,530196605,P,Human Services,2020,30397,10
American Red Cross,530196605,P,Human Services,2022,29790,10
Kennedy Center,530245017,A,Arts & Culture,2016,27092,4
Kennedy Center,530245017,A,Arts & Culture,2018,28180,4
Kennedy Center,530245017,A,Arts & Culture,2022,27320,5
