org_name,ein,ntee,ntee_label,year,word_count
Met Museum of Art,131624086,A,Arts & Culture,2016,31909
Met Museum of Art,131624086,A,Arts & Culture,2018,31980
Met Museum of Art,131624086,A,Arts & Culture,2020,32971
Met Museum of Art,131624086,A,Arts & Culture,2022,34417
UNCF,131624241,B,Education,2016,25995
UNCF,131624241,B,Education,2020,28078
UNCF,131624241,B,Education,2022,27494
United Way,131635294,P,Human Services,2016,89250
United Way,131635294,P,Human Services,2018,229350
United Way,131635294,P,Human Services,2020,198108
United Way,131635294,P,Human Services,2022,47416
NAACP LDF,131655255,B,Education,2016,23129
NAACP LDF,131655255,B,Education,2018,23889
NAACP LDF,131655255,B,Education,2020,23451
NAACP LDF,131655255,B,Education,2022,24319
National Urban League,131840489,R,Civil Rights,2016,25399
National Urban League,131840489,R,Civil Rights,2018,26223
National Urban League,131840489,R,Civil Rights,2020,28725
Lincoln Center,131847137,A,Arts & Culture,2016,28425
Lincoln Center,131847137,A,Arts & Culture,2018,28650
Lincoln Center,131847137,A,Arts & Culture,2020,29423
Lincoln Center,131847137,A,Arts & Culture,2022,29207
Teach For America,133541913,B,Education,2016,23279
Teach For America,133541913,B,Education,2018,23069
Teach For America,133541913,B,Education,2020,24662
Teach For America,133541913,B,Education,2022,24787
ACLU Foundation,136213516,R,Civil Rights,2016,33044
ACLU Foundation,136213516,R,Civil Rights,2020,27523
ACLU Foundation,136213516,R,Civil Rights,2022,27804
HRC Foundation,521481896,R,Civil Rights,2016,23511
HRC Foundation,521481896,R,Civil Rights,2018,25696
HRC Foundation,521481896,R,Civil Rights,2020,26229
HRC Foundation,521481896,R,Civil Rights,2022,27830
Goodwill Intl,530196517,P,Human Services,2016,29448
Goodwill Intl,530196517,P,Human Services,2018,30921
Goodwill Intl,530196517,P,Human Services,2020,32934
Goodwill Intl,530196517,P,Human Services,2022,32071
American Red Cross,530196605,P,Human Services,2016,29277
American Red Cross,530196605,P,Human Services,2018,29139
American Red Cross,530196605,P,Human Services,2020,30397
American Red Cross,530196605,P,Human Services,2022,29790
Kennedy Center,530245017,A,Arts & Culture,2016,27092
Kennedy Center,530245017,A,Arts & Culture,2018,28180
Kennedy Center,530245017,A,Arts & Culture,2022,27320
